,HerbTopicPair,Text,Medical,IsHarm,Herb
25,"('Forsythia suspensa', 'Cultivation and uses')","The hybrids Forsythia   intermedia (F. suspensa   F. viridissima) and Forsythia    variabilis (F. ovata   F. suspensa) have been produced in cultivation.  Forsythia intermedia is a hybrid between F. suspensa and F. viridissima. Many cultivars have been selected from this cross including dwarf and compact forms.Forsythias are popular early spring flowering shrubs in gardens and parks, especially during Eastertide; Forsythias are nicknamed the Easter Tree because its branches appear to be waving in praise of the resurrection of Jesus. Two are commonly cultivated for ornament, Forsythia   intermedia and Forsythia suspensa. They are both spring flowering shrubs, with yellow flowers. They are grown and prized for being tough, reliable garden plants. Forsythia   intermedia is the more commonly grown, is smaller, has an upright habit, and produces strongly coloured flowers. Forsythia suspensa is a large to very large shrub, can be grown as a weeping shrub on banks, and has paler flowers. Many named garden cultivars can also be found. Forsythia is frequently forced indoors in the early spring.
Commercial propagation is usually by cuttings, taken from green wood after flowering in late spring to early summer; alternatively, cuttings may be taken between November and February. Low hanging boughs often take root, and can be removed for transplanting. A common practice (known as layering) is to place a weight over a branch to keep it on the ground and, after it has rooted, to dig up the roots and cut the rooted part from the main branch; this can then be planted.
Forsythia suspensa is considered one of the 50 fundamental herbs in Chinese herbology. Forsythia sticks are used to bow a Korean string instrument called ajaeng.",Natural Springs*C3179043|Crying*C0010399|Dwarfism*C0013336|Pallor*C0030232|Behaviorial Habits*C0018464|Tooth root structure*C0040452|Body Weight*C0005910|Wood material*C0043217|Natural Springs*C3179043|Reproduction*C0035150|Transplanted tissue*C0332835,['NO_MATCH'],Forsythia suspensa
26,"('Gleditsia sinensis', 'Etymology')","In China, Gleditsia sinensis is commonly known as z o ji  (Chinese:   ). The English equivalents include Chinese honey locust (or Chinese honeylocust), soap bean and soap pod.",,['NO_MATCH'],Gleditsia sinensis
27,"('Gleditsia sinensis', 'Traditional medicine')","It is one of the alleged ""50 fundamental herbs"" used in traditional Chinese medicine. Gleditsia sinensis has been used in China for at least 2000 years as a detergent.  The thorns of Gleditsia sinensis are used as a medicinal herb in China and Korea and may have antitumor properties.  The thorns of Gleditsia sinensis LAM. (Leguminosae) have been used in traditional medicine for the treatment of inflammatory diseases including swelling, suppuration, carbuncle and skin diseases.",carbuncle*C0007078|Suppuration*C3203360|Edema*C0013604|Disease*C0012634|Dermatologic disorders*C0037274,['NO_MATCH'],Gleditsia sinensis
28,"('Gleditsia sinensis', 'Scientific study')","G. sinensis has in vitro effects that may be indicative of antiallergic activities, possibly due to the saponins in fruits. Studies in mice suggest that Gleditsia sinensis ethanolic extract could be an effective therapeutic agent for the treatment of allergic asthma.Thorns showed antibacterial activity against a Gram-positive bacterium Xanthomonas vesicatoria and a Gram-negative bacterium Bacillus subtilis.  A lupane acid extracted from the thorns showed in vitro anti-HIV activity.The fruit extract of Gleditsia sinensis also has inhibitory effects on isolated cancer cell cultures.",HIV Seropositivity*C0019699|Asthma*C0004096|Malignant Neoplasms*C0006826,['NO_MATCH'],Gleditsia sinensis
29,"('Glycyrrhiza uralensis', 'Traditional uses')","Liquorice root, or 'radix glycyrrhizae', is one of the 50 fundamental herbs used in traditional Chinese medicine, where it has the name gancao (kan-tsao; Chinese:   , pinyin: g nc o). It is used in Chinese medicine to harmonize other herbs and to reduce the harsh effects of other herbs. It is usually collected in spring and autumn, when it is removed from the rootlet and dried in the sun. Liquorice root is most commonly produced in the Shanxi, Gansu and Xinjiang regions of China.Liquorice root contains glycyrrhizin, which may affect blood pressure, blood potassium levels or have untoward effects during pregnancy. Overuse of licorice may induce weakness, headache, blurred vision, nosebleed, anxiety, or shortness of breath. Other common side effects may include missed menstrual periods, fluid retention or sexual problems in men.",Tooth root structure*C0040452|Sunlight*C0038817|Blood Pressure*C0005823|Headache*C0018681|Systemic arterial pressure*C1272641|Retention (Psychology)*C0035280|Vision*C0042789|In Blood*C0005768|Dyspnea*C0013404|Epistaxis*C0014591|Menstruation*C0025344|Natural Springs*C3179043|Pregnancy*C0032961|Affect (mental function)*C0001721|Anxiety*C0003467|Blood*C0005767|Desiccation*C0011682|Anxiety Disorders*C0003469|Body Fluids*C0005889,['NO_MATCH'],Glycyrrhiza uralensis
30,"('Hydnocarpus anthelminticus', 'Traditional medicine')","The Vietnamese name for H. anthelmiticus is l  n i (sometimes   i phong t ).  It is one of the 50 fundamental herbs used in traditional Chinese medicine, where it has the name d  f ng z  (   ).",,['NO_MATCH'],Hydnocarpus anthelminticus
31,"('Ilex purpurea', 'Medicinal uses')","It is one of the 50 fundamental herbs used in traditional Chinese medicine, where it has the name d ng q ng (Chinese:   ).",,['NO_MATCH'],Ilex purpurea
32,"('Leonurus japonicus', 'Uses')","It is one of the 50 fundamental herbs used in traditional Chinese medicine, where it is called y m c o (Chinese:    ), literally ""beneficial herb for mothers"".
In China, Leonurus heterophyllus injection has been studied for its potential to prevent postpartum hemorrhage after caesarian section.Leonurus japonicus, contains several compounds with biology activity,such as guanosine (CAS: 118-00-3), rutin (CAS: 153-18-4), syringic acid (CAS: 530-57-4) and stigmasterol (CAS: 83-48-7). Scientists use the purified compound as a standard in drug screening.",Postpartum Hemorrhage*C0032797,['NO_MATCH'],Leonurus japonicus
33,"('Lobelia chinensis', 'Herbal medicine')","Lobelia chinensis is considered one of the 50 fundamental herbs in Chinese herbology. Historically, L. chinensis has been used in herbal medicine to help stop smoking, however the Food and Drug Administration has banned the use of herbs containing lobeline.",Tobacco smoking behavior*C0453996|Smoking*C0037369,['NO_MATCH'],Lobelia chinensis
34,"('Lobelia chinensis', 'Toxicity and adverse effects')","Lobeliachinensis is considered mildly toxic due to its adverse effects, including vomiting, heartburn, anxiety, vibrating, eclampsia, increased heart-rate, and severe stomach aches.",Eclampsia*C0013537|Heartburn*C0018834|Tachycardia*C0039231|Vomiting*C0042963|Ache*C0234238|Stomach*C0038351|Anxiety*C0003467|Anxiety Disorders*C0003469,"["" 'toxicity and adverse effects'"", "" 'toxicity and adverse effects'"", "" 'toxicity and adverse effects'""]",Lobelia chinensis
35,"('Phellodendron amurense', 'Medicinal use')","It has been used as a Chinese traditional medicine for the treatment of meningitis, bacillary dysentery, pneumonia, tuberculosis, and liver cirrhosis.Used orally to treat abdominal pain, diarrhoea, gastroenteritis and urinary tract infections. Phellodendron amurense may protect cartilage against osteoarthritis  progression.
It may prove to be  a potentially important chemopreventive agent for lung cancer.Phellodendron amurense is able to inhibit prostatic contractility suggesting that it may be useful in the treatment of urological disorders caused by prostatic urethral obstruction such as benign prostatic hyperplasia (BPH).  Nexrutine (bark extract from Phellodendron amurense) may have potential to  prevent  prostate tumor development.Proprietary extracts of Magnolia officinalis and Phellodendron amurense may help overweight/obese people.Compounds in the leaves (quercetin, quercetin-3-O-beta-D-glucoside, quercetin-3-O-beta-D-galactoside and kaempferol-3-O-beta-D-glucoside) demonstrated significant free radical scavenging activity comparable to vitamin E.",Tuberculosis*C0041296|Abdominal Pain*C0000737|Diarrhea*C0011991|Urinary tract infection*C0042029|Degenerative polyarthritis*C0029408|Disease Progression*C0242656|Gastroenteritis*C0017160|Liver Cirrhosis*C0023890|Pneumonia*C0032285|Cartilage*C0007301|Meningitis*C0025289|Obesity*C0028754|Prostate*C0033572|Overweight*C0497406|Cerebral cortex*C0007776|Urethral Obstruction*C0041972|Prostatic Neoplasms*C0033578|Ability*C0085732|Benign Prostatic Hyperplasia*C1704272|Adrenal Cortex*C0001613|Structure of cortex of kidney*C0022655|Cardiac Arrest*C0018790|Urologic Diseases*C0042075|Malignant neoplasm of lung*C0242379,['NO_MATCH'],Phellodendron amurense
36,"('Phellodendron amurense', 'Oil')","Amur cork tree fruit oil is a pressed oil extracted from the fruit of Phellodendron amurense. The bark of the tree is an important herbal medicine in China. The oil has insecticidal properties similar to pyrethrum. The oil contains a variety of biologically active substances, including flavonoids (diosmin), alkaloids (berberine, yatroriccin, palmatine), saponins and coumarins. Medicinal applications of the oil include treatment of pancreatitis, reduction of cholesterol and sugar in blood and the treatment of various skin diseases.",Pancreatitis*C0030305|Dermatologic disorders*C0037274,['NO_MATCH'],Phellodendron amurense
37,"('Platycladus orientalis', 'Taxonomy')","Although generally accepted as the only member of its genus, it has been suggested that the closely related species Microbiota decussata could be included in Platycladus, but this is not widely followed. Other fairly close relatives are Juniperus and Cupressus, both of these genera being graft-compatible with Platycladus. In older texts, Platycladus was often included in Thuja, which is reflected in one of its common names, ""oriental thuja"". But it is only distantly related to the genus Thuja. Differences include its distinct cones, wingless seeds, and its almost scentless foliage.",Retinal Cone*C0206428|Transplanted tissue*C0332835,['NO_MATCH'],Platycladus orientalis
38,"('Platycladus orientalis', 'Etymology')","The binomial Platycladus means ""with broad or flattened shoots"". The qualifier orientalis refers to its native habitat in China.The common name 'arborvitae' is from Latin, 'tree of life', and is based on its association with long life and vitality in Buddhist thought in China. This is probably based on the tree's unchanging evergreen nature in the cold dry climate of northwest China, and its longevity; some of the larger specimens planted around Buddhist temples in China are said to be in excess of 1,000 years old. It is called c b i (  ) in Chinese.",Cold Climate*C0009267|Mental association*C0004083|Desiccation*C0011682,['NO_MATCH'],Platycladus orientalis
39,"('Pseudolarix amabilis', 'Traditional medicine')","Golden Larch is one of the 50 fundamental herbs used in Chinese herbology, where it is called j n qi n s ng (Chinese:    ). Pseudolarix amabilis is used in traditional Chinese medicine as dermatologic antifungal remedy.",,['NO_MATCH'],Pseudolarix amabilis
40,"('Psilopeganum sinense', 'Medicinal uses')",P. sinense is one of the 50 fundamental herbs used in traditional Chinese medicine.,,['NO_MATCH'],Psilopeganum sinense
41,"('Pueraria lobata', 'Names')","It is called g  ( ) in Chinese, kuzu ( ) in Japanese, and chik ( ) in Korean.",,['NO_MATCH'],Pueraria lobata
42,"('Pueraria lobata', 'Use')","The starch powder made from the East Asian arrowroot is called kudzu powder. In both Korea and Japan, the powder is used to make arrowroot tea (in Korea the root unprepared is also used).",Tooth root structure*C0040452,['NO_MATCH'],Pueraria lobata
43,"('Rauwolfia serpentina', 'Potential adverse effects')","R. serpentina may cause adverse effects by interacting with various prescription drugs or via interference with mechanisms of mental depression or peptic ulcer. The reserpine in R. serpentina is associated with diverse adverse effects, including vomiting, diarrhea, dizziness, headache, anxiety, or hypersensitivity reactions.",Dizziness*C0012833|Headache*C0018681|Peptic Ulcer*C0030920|Vertigo*C0042571|Diarrhea*C0011991|Vomiting*C0042963|Mental Depression*C0011570|Anxiety*C0003467|Anxiety Disorders*C0003469|Hypersensitivity*C0020517,"["" 'potential adverse effects'"", "" 'potential adverse effects'""]",Rauwolfia serpentina
44,"('Rehmannia glutinosa', 'Etymology')","Rehmannia is named for Joseph Rehmann (1788 1831), a physician in St. Petersburg.
Glutinosa means 'glutinous', 'sticky', or 'viscous'.",Viscosity*C0042784,['NO_MATCH'],Rehmannia glutinosa
45,"('Rheum officinale', 'Uses')","Leaf petiole said to be edible raw or cooked.In Indonesia, especially in Java where it is known as klembak in Javanese, and it is usually dried, and mixed with tobacco and frankincense to create a rokok klembak menyan, a traditional Javanese frankincense cigarette.The roots of Rheum officinale are used in traditional Chinese medicine.In Chinese traditional medicine, R. officinale, in combination with a large variety of other herbs and modern medicine, has been used for the treatment of hepatitis B, although the results were found to be inconclusive.",Hepatitis B*C0019163|Desiccation*C0011682,['NO_MATCH'],Rheum officinale
46,"('Saussurea costus', 'Traditional uses')","The root of Saussurea costus has been used as an incense and perfume ingredient for thousands of years and is mentioned in rabbinical writings as kosht (Hebrew:     ), reflecting its arrowhead shape. It was used in Ketoret which is used when referring to the consecrated incense described in the Hebrew Bible and Talmud. It is also referred to as the Ketoret (incense). It was offered on the specialized incense altar in the time when the Tabernacle was located in the First and Second Jerusalem Temples. The ketoret was an important component of the Temple service in Jerusalem. 
 In traditional Chinese medicine, the root is one of the 50 fundamental herbs. It has the name (Chinese:    ; pinyin: y n m  xi ng, meaning  wood aroma ).  It forms a main ingredient in the Chinese pastille rods known as joss sticks. It is also used as incense. 
 In Ayurveda, the name Kushta refers to an ancient Vedic plant god mentioned in the Atharvaveda as a remedy for taxman, the archetypal disease of excess or jvara (fever). In ancient India, Kushta was considered to be a divine plant derived from heavenly sources, growing high in the Himalayas, considered to be the brother of the divine Soma. In Ayurveda, Kushta is a rasayana for Vata, helping to normalize and strengthen digestion, cleanse the body of toxic accumulations, enhance fertility, and reduce pain.  Its dried powder is the principal ingredient in an ointment for ulcers; it is also a hair wash.Costus rhizome is used for curing woolen cloth in hill area of Uttarakhand.",Tooth root structure*C0040452|Neoplasm Metastasis*C0027627|Rod Photoreceptors*C0206427|Tooth root structure*C0040452|Wood material*C0043217|Fragrance (odor)*C2987717|Digestion*C0012238|Fever*C0015967|Pain*C0030193|Fertility*C0015895|Ulcer*C0041582|Disease*C0012634|Hair*C0018494,['NO_MATCH'],Saussurea costus
47,"('Saussurea costus', 'Other common uses')","An essential oil obtained from the roots is used in perfumery, incenses, and in hair rinses. It has a strong lingering scent that has the scent of violets at first, yet changes to a more unpleasant goat-like smell as it ages. The common form of the roots can be either found as an essential oil, a ground powder, or as a dried stick. Another use for the plant is within incense sticks. These sticks can be created from these roots by grinding the roots into a powder and then forming the stick structure. As well, the dried sticks are commonly found cut up into thin slices to be used as lightings for shrines or as tonics for hot baths.",Hot Temperature*C2350229|Light*C0023693|Smell Perception*C0037361|Fragrance (odor)*C2987717|Hair*C0018494,['NO_MATCH'],Saussurea costus
48,"('Schisandra chinensis', 'Etymology')","Its Chinese name comes from the fact that its berries possess all five basic flavors: salty, sweet, sour, pungent (spicy), and bitter. Sometimes, it is more specifically called b i w  w i zi (literally ""northern five-flavor berry"") to distinguish it from another traditionally medicinal schisandraceous plant Kadsura japonica that grows only in subtropical areas. Another species of schisandra berry, Schisandra sphenanthera, has a similar but different biochemical profile;  the Chinese Pharmacopeia distinguishes between S. chinensis (b i w  w i zi) and  S. sphenanthera (nan w  w i zi).",flavor enhancers*C0682897,['NO_MATCH'],Schisandra chinensis
49,"('Schisandra chinensis', 'Uses')","Its berries are used in traditional medicine, where it is considered one of the 50 fundamental herbs. Chemical constituents include the lignans schisandrin, deoxyschizandrin, gomisins, and pregomisin.In Korean, the berries are known as omija (     (hangul)   five flavours). The cordial drink made from the berries is called omija-cha, meaning ""omija tea""; see Korean tea. In Japanese, they are called gomishi. The Ainu people used this plant, called repnihat, as a remedy for colds and sea-sickness.Interest in limonnik (S. chinensis) in Russia was associated with ethnopharmacological investigations by Soviet scientists on berries and seeds.",flavor enhancers*C0682897|Vision*C0042789|Common Cold*C0009443|Seasickness*C0036494,['NO_MATCH'],Schisandra chinensis
50,"('Scutellaria baicalensis', 'Medicinal plant')","It is one of the 50 fundamental herbs used in traditional Chinese medicine, where it has the name hu ngq n (Chinese:   ).  As a Chinese traditional medicine, huang qin usually refers to the dried root of S. baicalensis Georgi, S. viscidula Bge., S. amoena C.H. Wright, and S. ikoninkovii Ju. 
 Several chemical compounds have been isolated from the root; baicalein, baicalin, wogonin, norwogonin, oroxylin A and  -sitosterol are the major ones. 
 It is important to use the Latin name, as the term 'skullcap' is used for over 200 varieties. Sometimes, Scutellaria lateriflora (North American skullcap) is mistaken for S. baicalensis.  This confusion can result in the intake of the S. lateriflora variety which can be processed and contaminated with other plants at high enough levels to be of concern.",Tooth root structure*C0040452|Tooth root structure*C0040452|Calvaria*C0205950|Term Birth*C0233324|Confusion*C0009676,['NO_MATCH'],Scutellaria baicalensis
51,"('Stemona tuberosa', 'Traditional medicine')",Stemona tuberosa (Chinese:   ; pinyin: b i b ) is one of the 50 fundamental herbs used in traditional Chinese medicine.  It can be used as a treatment for Pediculus capitus and Phthirus pubis typically with low skin irritation.,,['NO_MATCH'],Stemona tuberosa
52,"('Stemona tuberosa', 'Varieties')","accepted varietiesStemona tuberosa var. minor (Hook.f.) C.E.C.Fisch. - India
Stemona tuberosa var. moluccana (Blume) ined. - New Guinea, Maluku, Philippines, Lesser Sunda Islands
Stemona tuberosa var. tuberosa - China, India, Bangladesh, Indochina, Maluku, Philippines, Lesser Sunda Islands",,['NO_MATCH'],Stemona tuberosa
53,"('Stephania tetrandra', 'Etymology in Chinese medicine')","Stephania tetrandra is among the 50 fundamental herbs used in TCM. The standard pinyin according to the Chinese [Herbal] Pharmacopia of the People's Republic of China (Chinese:          ; pinyin: Zhonghua Renmin Gongheguo Yao Dian) is: fen fang ji (Chinese:    ; pinyin: f n f ng j ), but it is more commonly known as Han Fang ji (Chinese:    ; pinyin: h n f ng j ).",,['NO_MATCH'],Stephania tetrandra
54,"('Stephania tetrandra', 'Traditional medicine')","Fen fang ji is used in traditional Chinese medicine to dispel wind and dampness to relieve pain and to promote diuresis.  It is classified as acrid, bitter and cold.  The part used is the root.",Cold Temperature*C0009264|Environmental Wind*C0043187|Tooth root structure*C0040452|Common Cold*C0009443|Flatulence*C0016204|Pain*C0030193|Diuresis*C0012797|Upper Respiratory Infections*C0041912,['NO_MATCH'],Stephania tetrandra
55,"('Stephania tetrandra', 'Chemistry')","Stephania contains tetrandrine, a potent smooth muscle relaxant.  Stephania alkaloids have curare-like action, and can selectively inhibit T-cell-dependent immune reactions. The root contains many isoquinoline alkaloids: tetrandrine (0.6-0.9%), fangchinoline (0.5%), cyclanoline (0.1%) and dimethyltetrandrine iodide (muscle relaxant). The root also contains flavanoids. The main active alkaloids are: tetrandrine (12 to 23 grams/kg) and fangchinoline (0.3 3 mg/kg). Also present are: dimethyltetradine iodide, cyclanoline, menisine, menisidine, oxofangchirine, stephenanthrine, stepholidine and bisbenzylisoquinoline. Fenfangjines F, G, H, and I.",Tooth root structure*C0040452|T-Lymphocyte*C0039194|Cardiac Arrest*C0018790|Smooth muscle (tissue)*C1267092|Muscle Tissue*C0026845,['NO_MATCH'],Stephania tetrandra
56,"('Stephania tetrandra', 'Other herbs sometimes used as Fang Ji')","Other plants named fang ji (Chinese:   , roughly ""snakebite remedy"") are sometimes substituted for it. Notable among these is guang fang ji (Chinese:    ; pinyin: gu ng f ng j ), Aristolochia fanchi, whose main toxic component is aristolochic acid, a potent carcinogen and nephrotoxin. Other herbs sometimes used as Fang Ji include Cocculus trilobus, C. orbiculatus, Aristolochia fangchi, and Sinomenium acutum (Japanese Han Fang Ji or Qinfengteng).",Snake Bites*C0037379,['NO_MATCH'],Stephania tetrandra
57,"('Stephania tetrandra', 'Warnings, contraindications for substituted herbs')","When Aristolochia fanghi is substituted for Stephania tetrandra, the resultant guang fang ji preparations can contain toxic amounts of aristolochic acid  Ingestion can lead to renal failure and even death; Aristolochia is used in TCM only with great caution. In May, 2000, the FDA began detaining any plants or medicines suspected of containing aristolochic acid, unless laboratory testing indicated they were negative for aristolochic acid.  The traditional route of ingestion of guang fang ji is via water decoction.  Since aristolochic acid has low water solubility, water decoction is believed to be a safer route than taking guang fang ji as an uncooked powder.",Drinking Water*C0599638|Kidney Failure*C0035078|Cessation of life*C0011065,"["" 'warnings""]",Stephania tetrandra
58,"('Trichosanthes kirilowii', 'Notes')",,,['NO_MATCH'],Trichosanthes kirilowii
59,"('Trichosanthes kirilowii', 'References')",,,['NO_MATCH'],Trichosanthes kirilowii
60,"('Trichosanthes kirilowii', 'External links')","""Trichosanthes kirilowii List of Chemicals"". Dr. Duke's Databases. United States National Agricultural Library.",,['NO_MATCH'],Trichosanthes kirilowii
61,"('Wikstroemia indica', 'Toxicity')","W. indica is toxic and the poisoning caused by W. indica leads to dizziness, blurred vision, nausea, vomiting, abdominal distension, abdominal pain and diarrhea.",Abdominal Pain*C0000737|Vision*C0042789|Dizziness*C0012833|Vertigo*C0042571|Diarrhea*C0011991|Nausea*C0027497|Vomiting*C0042963|Pathological Dilatation*C0012359|Poisoning*C0032343,"["" 'toxicity'""]",Wikstroemia indica
62,"('Wikstroemia indica', 'Medicinal uses')","It is one of the 50 fundamental herbs used in traditional Chinese medicine.  As a traditional Chinese herb, this plant has long been employed as an antipyretic, detoxicant, expectorant, vermifuge, and abortifacient in clinical practice in China.",,['NO_MATCH'],Wikstroemia indica
63,"('Wikstroemia indica', 'Chemicals')","An alcoholic extract of the plant was found to contain daphnoretin, chrysophanol, myricitrime and rutin. The extract of W. indica displays antimicrobial and anti-inflammatory activities in vitro.",,['NO_MATCH'],Wikstroemia indica
